company_id,type,rule_id,text,confidence_pct
ABB,Pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,90
ABB,Pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,85
ABB,Pro,P6,Net profit compounding above 20% over five years creates significant shareholder value.,90
ABB,Pro,P7,Very high interest coverage reflects negligible financial stress from debt servicing.,85
ABB,Pro,P8,Consistent dividend payout backed by positive free cash flow reflects healthy shareholder returns.,80
ABB,Pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality.,85
ABB,Pro,P10,High composite quality score reflects consistently strong financial performance.,80
ABB,Pro,P12,Strong balance sheet with low leverage supports sustainable long-term growth.,90
ABB,Con,CF,The company should continue improving financial performance across key metrics.,65
ADANIENSOL,Pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,85
ADANIENSOL,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,85
ADANIENSOL,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
ADANIENSOL,Pro,P10,High composite quality score reflects consistently strong financial performance.,80
ADANIENSOL,Pro,P11,Revenue growth exceeding profit growth indicates stable operating expansion.,75
ADANIENSOL,Con,C1,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,90
ADANIENSOL,Con,C4,Return on equity below 10% suggests inefficient capital utilization.,80
ADANIENSOL,Con,C10,Return on equity below 15% suggests the business is generating modest shareholder returns.,75
ADANIENSOL,Con,C11,High leverage combined with weak interest coverage increases financial risk.,90
ADANIENT,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,85
ADANIENT,Pro,P6,Net profit compounding above 20% over five years creates significant shareholder value.,90
ADANIENT,Pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality.,85
ADANIENT,Pro,P10,High composite quality score reflects consistently strong financial performance.,80
ADANIENT,Con,C2,Negative free cash flow raises concern about cash generation quality.,85
ADANIENT,Con,C4,Return on equity below 10% suggests inefficient capital utilization.,80
ADANIENT,Con,C10,Return on equity below 15% suggests the business is generating modest shareholder returns.,75
ADANIENT,Con,C11,High leverage combined with weak interest coverage increases financial risk.,90
ADANIGREEN,Pro,P4,Revenue growing above 15% CAGR reflects strong business momentum.,85
ADANIGREEN,Pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
ADANIGREEN,Con,C1,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,90
ADANIGREEN,Con,C2,Negative free cash flow raises concern about cash generation quality.,85
ADANIGREEN,Con,C10,Return on equity below 15% suggests the business is generating modest shareholder returns.,75
ADANIGREEN,Con,C11,High leverage combined with weak interest coverage increases financial risk.,90
ADANIPORTS,Pro,P2,Strong free cash flow generation indicates healthy business fundamentals.,85
